,link,Name,Subtitle,Price,Sale price
99,https://www.nike.com/t/court-borough-mid-2-little-kids-shoes-c6LRCk/CD7783-107,Nike Court Borough Mid 2,Little Kids' Shoes,$67,$50.97
100,https://www.nike.com/t/jordan-stadium-90-mens-shoes-q1QWcC/DX4397-114,Jordan Stadium 90,Men's Shoes,$120,$102.97
101,https://www.nike.com/t/team-hustle-d-11-little-kids-shoes-3XSq8b/DV8994-600,Nike Team Hustle D 11,Little Kids' Shoes,$55,$42.97
102,https://www.nike.com/t/waffle-debut-vintage-womens-shoes-rfRkv2/DX2931-100,Nike Waffle Debut Vintage,Women's Shoes,$80,$68.97
103,https://www.nike.com/t/jordan-1-mid-baby-toddler-shoes-s886dN/FD8782-181,Jordan 1 Mid,Baby/Toddler Shoes,$60,$45.97
104,https://www.nike.com/t/air-jordan-1-mid-se-craft-big-kids-shoes-cjZRxr/FQ7742-001,Air Jordan 1 Mid SE Craft,Big Kids' Shoes,$120,$81.97
105,https://www.nike.com/t/tanjun-womens-shoes-lj1St1/DJ6257-002,Nike Tanjun,Women's Shoes,$70,$52.97
106,https://www.nike.com/t/air-force-1-07-lv8-1-mens-shoes-x0bMdL/CW6999-600,Nike Air Force 1 '07 LV8 1,Men's Shoes,$125,$105.97
107,https://www.nike.com/t/huarache-run-baby-toddler-shoes-GP77ds/704950-110,Nike Huarache Run,Baby/Toddler Shoes,$55,$46.97
108,https://www.nike.com/t/air-max-tw-mens-shoes-rQl8pF/DQ3984-001,Nike Air Max TW,Men's Shoes,$160,$89.97
109,https://www.nike.com/t/dunk-low-mens-shoes-mcP2m1/HF4262-133,Nike Dunk Low,Men's Shoes,$115,$91.97
110,https://www.nike.com/t/free-rn-2018-womens-running-shoes-zE8Je3/942837-001,Nike Free RN 2018,Women's Running Shoes,$100,$80.97
111,https://www.nike.com/t/air-force-1-07-mens-shoes-5ThTzn/HF4849-100,Nike Air Force 1 '07,Men's Shoes,$115,$79.97
112,https://www.nike.com/t/air-max-97-big-kids-shoes-tLQrln/918890-001,Nike Air Max 97,Big Kids' Shoes,$160,$104.97
113,https://www.nike.com/t/air-pegasus-89-mens-shoes-jNw6LB/FZ5626-101,Nike Air Pegasus '89,Men's Shoes,$100,$69.97
114,https://www.nike.com/t/air-jordan-1-high-g-nrg-mens-golf-shoes-KqNcWn/FD6815-001,Air Jordan 1 High G NRG,Men's Golf Shoes,$210,$131.97
115,https://www.nike.com/t/downshifter-12-womens-road-running-shoes-ZJlqCr/DD9294-100,Nike Downshifter 12,Women's Road Running Shoes,$75,$63.97
116,https://www.nike.com/t/jordan-1-mid-se-little-kids-shoes-c93vjG/FN7493-141,Jordan 1 Mid SE,Little Kids' Shoes,$80,$60.97
117,https://www.nike.com/t/star-runner-4-little-kids-shoes-D8kzVQ/DX7614-100,Nike Star Runner 4,Little Kids' Shoes,$52,$44.97
118,https://www.nike.com/t/free-run-flyknit-2018-mens-road-running-shoes-RRT9elMk/942838-101,Nike Free Run Flyknit 2018,Men's Road Running Shoes,$120,$95.97
119,https://www.nike.com/t/force-1-low-lv8-easyon-baby-toddler-shoes-VGXcbd/FZ3368-100,Nike Force 1 Low LV8 EasyOn,Baby/Toddler Shoes,$65,$48.97
120,https://www.nike.com/t/air-force-1-07-lv8-mens-shoes-KgPwg8/HF1939-100,Nike Air Force 1 '07 LV8,Men's Shoes,$125,$99.97
121,https://www.nike.com/t/air-force-1-07-mens-shoes-DPx1sr/HF4298-100,Nike Air Force 1 '07,Men's Shoes,$125,$105.97
122,https://www.nike.com/t/jordan-1-mid-sneaker-school-baby-toddler-shoes-Hf8znK/FN7539-400,Jordan 1 Mid Sneaker School,Baby/Toddler Shoes,$65,$55.97
123,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-jChrQ3/DD9315-110,Air Jordan 1 Low G,Golf Shoes,$150,$93.97
124,https://www.nike.com/t/free-rn-nn-womens-road-running-shoes-XkgH7L/DX6482-002,Nike Free RN NN,Women's Road Running Shoes,$110,$77.97
125,https://www.nike.com/t/air-max-1-se-big-kids-shoes-nbdjx8/FN7287-100,Nike Air Max 1 SE,Big Kids' Shoes,$105,$65.97
126,https://www.nike.com/t/dunk-low-mens-shoes-lHBTSj/HF0106-100,Nike Dunk Low,Men's Shoes,$135,$101.97
127,https://www.nike.com/t/lebron-witness-6-little-kids-shoes-gN7sN2/DD0424-002,LeBron Witness 6,Little Kids' Shoes,$80,$56.97
128,https://www.nike.com/t/dri-fit-legend-big-kids-boys-t-shirt-GvrpQ4/DX1123-010,Nike Dri-FIT Legend,Big Kids' (Boys') T-Shirt,$25,$16.97
129,https://www.nike.com/t/jordan-1-mid-se-craft-little-kids-shoes-DDPwcZ/FN7494-100,Jordan 1 Mid SE Craft,Little Kids' Shoes,$80,$68.97
130,https://www.nike.com/t/dunk-low-se-little-kids-shoes-RQ2mNN/FN4862-100,Nike Dunk Low SE,Little Kids' Shoes,$80,$72.97
131,https://www.nike.com/t/everyday-plus-cushioned-crew-socks-1-pair-czV9lp/FQ0326-010,Nike Everyday Plus,Cushioned Crew Socks (1 Pair),$18,$14.97
132,https://www.nike.com/t/jordan-23-little-kids-dress-947gBF/35C918-R78,Jordan 23,Little Kids' Dress,$32,$25.97
133,https://www.nike.com/t/phantom-gx-elite-firm-ground-low-top-soccer-cleat-WGRzk4/DC9968-040,Nike Phantom GX Elite,Firm-Ground Low-Top Soccer Cleat,$260,$157.97
134,https://www.nike.com/t/uconn-menshockey-jersey-WP1WhP/P34235J293-CON,UConn,Men's Nike College Hockey Jersey,$130,$110.97
135,https://www.nike.com/t/lsu-mensshorts-JpFHC1/FN8110-547,LSU,Men's Nike College Shorts,$65,$52.97
136,https://www.nike.com/t/air-zoom-flight-95-mens-shoes-zc42bP/DX3955-100,Nike Air Zoom Flight 95,Men's Shoes,$165,$93.97
137,https://www.nike.com/t/go-womens-firm-support-high-waisted-7-8-leggings-with-pockets-plus-size-sBR0Gk/DV4902-509,Nike Go,Women's Firm-Support High-Waisted 7/8 Leggings with Pockets (Plus Size),$120,$102.97
